,장소코드,장소명,시간대,혼잡수준,최소인원,최대인원
402,POI034,선릉역,2024-04-16 01:00,여유,16000,18000
403,POI034,선릉역,2024-04-16 02:00,여유,14000,16000
404,POI034,선릉역,2024-04-16 03:00,여유,12000,14000
405,POI034,선릉역,2024-04-16 04:00,여유,12000,14000
406,POI034,선릉역,2024-04-16 05:00,여유,12000,14000
407,POI034,선릉역,2024-04-16 06:00,여유,12000,14000
408,POI035,성신여대입구역,2024-04-15 19:00,약간 붐빔,7000,7500
409,POI035,성신여대입구역,2024-04-15 20:00,약간 붐빔,7000,7500
410,POI035,성신여대입구역,2024-04-15 21:00,약간 붐빔,6500,7000
411,POI035,성신여대입구역,2024-04-15 22:00,보통,5500,6000
412,POI035,성신여대입구역,2024-04-15 23:00,여유,4500,5000
